Year,Area,ST 2,STrange HTML
2012,Birmingham,"Birmingham St, Stourbridge",
2012,Birmingham,"Birmingham St , Halesowen",
2011,NA,"Bishopgate St, City Centre",
2011,Birmingham,"Blair Grove ,Chelmsley Wood ,Birmingham.",
2012,NA,"Bliss, Brd St",
2011,NA,"Bliss, Brd St.",
2011,NA,"Bliss Bar, Brd St",
2011,Birmingham,"Bliss Nightclub, Brd St, Birmingham",
2011,NA,"Bliss Nightclub, Brd St.",
2012,Solihuil,"Blossomfield Rd, Solihull",
2012,Walsall,"Blue Ln, Walsall",
2012,NA,"Bond St, City Centre",
2011,NA,"Bordesley Green ,  Bordesley Green.",&quot;That silly man&quot;
2012,NA,"Bordesley Green Rd, Bordesley Green",
2012,NA,"Bordesly Green, Bordesley Green",
2012,NA,"Boscombe Rd, Tyseley,",
2012,NA,"Boundary Rd, Erdington",
2012,NA,"Bourne Ave, Tipton",
2011,NA,"Bracebridge Rd, Erdington",
2011,Solihuil,"Brackleys Way, Solihull",
2011,Walsall,"Bradford Place, Walsall",
2011,Walsall,"Bradford Place, Walsall",
2012,Walsall,"Bradford Place, Walsall",
2012,Walsall,"Bradford Place, Walsall",
2012,Walsall,"Bradford Place, Walsall",
2012,Walsall,"Bradford Place, Walsall",
2012,Walsall,"Bradford Place, Walsall",
2012,Walsall,"Bradford Place, Walsall Town Centre",
2012,NA,"Bradford Rd, Castle Brom",
2011,Birmingham,"Bradford St, Birmingham",
2011,Walsall,"Bradford St, Walsall",
2012,Walsall,"Bradford St, Walsall",
2012,Walsall,"Bradford St, Walsall",
2011,Walsall,"Bradford St,Walsall",
2012,Walsall,"Bradford St,Walsall",
2011,Coventry,"Braod Park Rd, Coventry",
2012,Birmingham,"Braod St, Birmingham",
2011,NA,"Braod St, City Centre",
2011,NA,"Braod St, City Centre",
2011,NA,"Braod St, City Centre",
2011,NA,"Braod St, City Centre",
2011,NA,"Braod St, City Centre",
2011,NA,"Braod St, City Centre",
2012,NA,"Braod St, City Centre",
2012,NA,"Brass House, Brd St",
2012,NA,"Brassington Ave, Sutton Coldfield",
2011,Coventry,"Bredon Ave, Coventry",
2012,NA,"Bridfgnorth Rd, Stourbridge",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2012,Walsall,"Bridge St, Walsall",
2011,Walsall,"Bridge St,Walsall",
2011,Walsall,"Bridge St,Walsall",
2011,Walsall,"Bridge St,Walsall",
